PIZZA 298 670
PIZZA 130 1318
PIZZA 658 1757
PIZZA 622 100
PIZZA 1126 1577
PIZZA 1906 1757
PIZZA 1852 1757
PIZZA 1648 666
PIZZA 1588 666
PIZZA 494 858
PIZZA 1128 1185
PIZZA 1056 1185
PIZZA 494 372
PIZZA 1388 420
KEY 1066 96
PORTE 954 768
HEAL 678 1558
REGEN 874 1565
REGEN 1772 64
CHEST 1870 1013
CHEST 1874 765
SPAWNER 226 1102
SPAWNER 124 370
SPAWNER 432 1570
SPAWNER 364 1757
SPAWNER 76 70
SPAWNER 946 1493
SPAWNER 1312 1757
SPAWNER 1846 1313
SPAWNER 1906 1313
SPAWNER 1618 960
SPAWNER 1912 96
SPAWNER 494 1248
SPAWNER 1388 912
SPAWNER 822 1011
SPAWNER 816 999
SPAWNER 942 468
