PIZZA 1856 1050
PIZZA 1688 1668
PIZZA 452 1728
PIZZA 344 1344
PIZZA 136 280
PIZZA 1064 687
PIZZA 1514 1119
PIZZA 1016 495
PIZZA 686 1443
PIZZA 1712 309
PIZZA 620 285
PIZZA 1906 742
PIZZA 1876 742
PIZZA 1942 742
PORTE 106 1750
KEY 1904 996
REGEN 64 64
HEAL 1906 695
CHEST 1906 821
SPAWNER 1904 1254
SPAWNER 1712 1710
SPAWNER 1034 1656
SPAWNER 74 534
SPAWNER 106 1282
SPAWNER 1328 747
SPAWNER 878 1185
SPAWNER 1514 621
SPAWNER 626 801
SPAWNER 1712 1305
SPAWNER 110 87
SPAWNER 766 106
SPAWNER 1246 106
SPAWNER 1666 106
SPAWNER 1912 394
